rank,title,singer,album
66,Fire,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
67,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
68,내가 아니라도,주호,내가 아니라도
69,I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
70,April shower,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
71,Unholy,Sam Smith & Kim Petras,Unholy
72,빙글빙글 (Prod. by R.Tee),헤이즈 (Heize),빙글빙글
73,나의 X에게,경서,나의 X에게
74,When I Get Old,Christopher & 청하,When I Get Old
75,Nostalgia,우디 (Woody),Nostalgia
76,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
77,Like Crazy,지민,FACE
78,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
79,Ai Wo Tsutaetaidatoka,Aimyon,Ai Wo Tsutaetaidatoka
80,Love Me Like This,NMIXX,expérgo
81,2002,Anne-Marie,Speak Your Mind (Deluxe)
82,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
83,봄날,방탄소년단,YOU NEVER WALK ALONE
84,사람 Pt.2 (Feat. 아이유),Agust D,D-DAY
85,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
86,Butter,방탄소년단,Butter
87,Heaven (2023),임재현,시작은 첫키스 OST Part.1
88,Candy,NCT DREAM,Candy - Winter Special Mini Album
89,Every Second,Mina Okabe,Every Second
90,신호등,이무진,신호등
91,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
92,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
93,나의 마음에 (Seed),태양,Down to Earth
94,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
95,희재,성시경,국화꽃 향기 OST
96,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
97,그대를 알고,송하예,그대를 알고
98,Off My Face,Justin Bieber,Justice
99,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
100,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
