rank,title,singer,album
62,Perfume,NCT 도재정,Perfume - The 1st Mini Album
63,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
64,Monologue,테이(Tei),Monologue
65,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
66,Higher,FIFTY FIFTY,THE FIFTY
67,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
68,strawberry moon,아이유(IU),strawberry moon
69,"Young, Dumb, Stupid",NMIXX,expérgo
70,먼지,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
71,Heaven(2023),임재현,시작은 첫키스 OST Part.1
72,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
73,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
74,나의 X에게,경서,나의 X에게
75,해요 (2022),#안녕,해요 (2022)
76,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
77,주저하는 연인들을 위해,잔나비,전설
78,INVU,태연 (TAEYEON),INVU - The 3rd Album
79,취중고백,김민석 (멜로망스),취중고백
80,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
81,Blue Blood,IVE (아이브),I've IVE
82,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스),Left and Right (Feat. Jung Kook of BTS)
83,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
84,드라마,아이유(IU),조각집
85,딱 10CM만,10CM,딱 10CM만
86,내가 아니라도,주호,내가 아니라도
87,Love story,볼빨간사춘기,Seoul
88,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면
89,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
90,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
91,Anti-Hero,Taylor Swift(테일러 스위프트),Midnights (3am Edition)
92,Dynamite,방탄소년단,Dynamite (DayTime Version)
93,사랑이 이별이 돼 가는 모습이,볼빨간사춘기,사랑.zip
94,LOVE me,BE'O (비오),LOVE me
95,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
96,Made You Look,Meghan Trainor(메간 트레이너),Takin' It Back
97,봄날,방탄소년단,YOU NEVER WALK ALONE
98,Next Level,aespa,Next Level
99,April shower,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
100,사랑하기 싫어,지아(Zia),사랑하기 싫어
