rank,title,singer,album
62,Nxde,(여자)아이들,I love
63,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
64,해요 (2022),#안녕,해요 (2022)
65,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
66,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스),That’s Not How This Works (feat. Dan + Shay)
67,Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04)
68,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
69,주저하는 연인들을 위해,잔나비,전설
70,INVU,태연 (TAEYEON),INVU - The 3rd Album
71,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
72,나의 X에게,경서,나의 X에게
73,내가 아니라도,주호,내가 아니라도
74,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
75,드라마,아이유(IU),조각집
76,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
77,Off My Face,Justin Bieber(저스틴 비버),Justice
78,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면
79,Love story,볼빨간사춘기,Seoul
80,Made You Look,Meghan Trainor(메간 트레이너),Takin' It Back
81,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
82,Heaven(2023),임재현,시작은 첫키스 OST Part.1
83,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
84,strawberry moon,아이유(IU),strawberry moon
85,"Young, Dumb, Stupid",NMIXX,expérgo
86,딱 10CM만,10CM,딱 10CM만
87,LOVE me,BE'O (비오),LOVE me
88,Anti-Hero,Taylor Swift(테일러 스위프트),Midnights (3am Edition)
89,Blue Blood,IVE (아이브),I've IVE
90,사랑이 이별이 돼 가는 모습이,볼빨간사춘기,사랑.zip
91,Dynamite,방탄소년단,Dynamite (DayTime Version)
92,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
93,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
94,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
95,Higher,FIFTY FIFTY,THE FIFTY
96,April shower,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
97,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스),Left and Right (Feat. Jung Kook of BTS)
98,우린 그렇게 사랑해서,강민경,우린 그렇게 사랑해서
99,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022)
100,사랑하기 싫어,지아(Zia),사랑하기 싫어
