날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(hr),날씨
2022-02-04,-5.2,-0.7,-8.2,0.0,0.0,2.9,53.0,1.9,7.3,맑음/눈
2022-02-05,-6.6,-2.0,-9.7,0.0,0.0,3.2,49.0,0.9,9.1,맑음
2022-02-06,-3.9,1.7,-8.4,0.0,0.0,2.6,50.0,1.0,9.5,맑음
2022-02-07,-2.5,1.9,-7.3,0.0,0.0,1.7,51.0,6.1,6.5,구름많음
2022-02-08,-0.1,5.6,-4.1,0.0,0.0,1.8,54.0,1.5,8.1,맑음
2022-02-09,1.0,7.2,-4.3,0.0,0.0,1.9,52.0,5.5,9.2,구름많음
2022-02-10,1.4,6.7,-3.2,0.0,0.0,2.3,58.0,1.6,9.6,맑음
2022-02-11,2.9,8.8,-2.6,0.0,0.0,1.8,61.0,2.6,8.9,구름조금/안개
2022-02-12,4.8,10.4,-0.1,0.0,0.0,1.8,50.0,3.5,9.3,구름조금/안개
2022-02-13,4.8,9.5,1.6,0.0,0.0,1.8,45.0,5.2,3.0,구름조금
2022-02-14,2.5,8.1,-1.3,1.7,0.0,2.9,68.0,6.6,0.9,구름많음/비/안개
2022-02-15,-4.7,-1.3,-7.7,0.0,0.0,3.7,58.0,5.6,3.0,구름많음/눈
2022-02-16,-7.3,-4.1,-9.6,0.0,0.0,3.7,50.0,0.9,9.0,맑음/눈
2022-02-17,-6.3,-0.5,-10.7,0.0,0.0,2.4,42.0,0.0,9.8,맑음
2022-02-18,-1.2,5.7,-8.0,0.0,0.0,1.8,40.0,3.9,8.6,구름조금
2022-02-19,-1.7,3.7,-6.2,0.1,0.1,3.0,53.0,6.5,2.9,구름많음/눈
2022-02-20,-4.8,-0.5,-8.4,0.0,0.0,4.0,41.0,0.1,10.0,맑음
2022-02-21,-3.0,3.6,-8.1,0.1,0.0,2.7,56.0,2.5,6.5,구름조금/눈
2022-02-22,-4.5,0.5,-8.0,0.0,0.0,3.3,43.0,1.0,8.0,맑음
2022-02-23,-5.7,-0.6,-10.0,0.0,0.0,2.7,39.0,0.0,10.2,맑음
2022-02-24,-2.4,3.7,-8.5,0.0,0.0,2.0,52.0,0.0,10.3,맑음
2022-02-25,3.0,8.4,-3.6,0.0,0.0,2.5,78.0,3.8,6.4,구름조금/안개
2022-02-26,5.4,9.3,1.0,1.1,0.0,3.8,78.0,8.0,0.2,구름많음/비/안개
2022-02-27,3.7,9.1,-1.6,0.0,0.0,2.8,57.0,0.0,10.5,맑음
2022-02-28,6.8,11.5,2.7,0.0,0.0,1.6,62.0,8.0,3.4,구름많음
2022-03-01,5.8,9.7,0.3,2.3,0.0,2.3,71.0,6.1,2.5,구름많음/비/안개
2022-03-02,3.5,8.8,-2.3,0.0,0.0,2.8,56.0,1.0,10.7,맑음
2022-03-03,5.8,12.4,0.9,0.0,0.0,2.1,53.0,0.0,10.6,맑음/안개
2022-03-04,6.9,14.6,0.6,0.0,0.0,3.6,61.0,5.1,3.7,구름조금/황사
2022-03-05,2.3,6.7,-0.7,0.0,0.0,4.3,38.0,0.1,10.5,맑음/황사
2022-03-06,1.4,6.8,-3.0,0.0,0.0,2.7,40.0,1.2,10.8,맑음
2022-03-07,2.8,8.7,-2.7,0.0,0.0,2.0,46.0,6.1,7.0,구름많음
2022-03-08,6.0,12.3,1.1,0.0,0.0,1.9,56.0,4.9,8.2,구름조금
2022-03-09,7.1,14.8,1.7,0.0,0.0,1.9,70.0,2.2,8.7,맑음/안개
2022-03-10,9.3,15.8,4.2,0.0,0.0,2.1,51.0,6.6,9.3,구름많음/안개
2022-03-11,11.2,18.4,5.1,0.0,0.0,1.8,58.0,5.2,5.9,구름조금
2022-03-12,12.8,19.5,6.3,2.6,0.0,2.8,72.0,5.8,3.2,구름많음/비/안개/이슬비
2022-03-13,11.7,12.6,10.7,42.1,0.0,1.8,96.0,9.4,0.0,흐림/비/안개/이슬비
2022-03-14,8.2,13.2,4.9,8.7,0.0,3.2,90.0,6.4,0.0,구름많음/비/이슬비
2022-03-15,7.2,13.3,2.3,0.0,0.0,1.9,73.0,3.8,7.1,구름조금/안개
2022-03-16,10.3,16.8,3.6,0.0,0.0,2.2,63.0,3.8,8.1,구름조금/안개
2022-03-17,10.7,15.1,7.8,1.2,0.0,2.7,62.0,10.0,1.9,흐림/비
2022-03-18,7.5,9.6,5.5,0.0,0.0,4.5,61.0,9.1,0.0,흐림/비
2022-03-19,3.4,6.1,0.9,14.6,0.7,2.9,85.0,8.9,0.0,흐림/눈/비/진눈개비
2022-03-20,5.4,9.3,2.2,0.0,0.0,2.4,66.0,5.1,6.3,구름조금/비/안개
2022-03-21,5.0,10.9,-0.3,0.0,0.0,2.4,50.0,7.5,6.8,구름많음
2022-03-22,7.1,13.6,1.1,0.0,0.0,2.1,49.0,2.5,11.0,구름조금
2022-03-23,6.2,8.2,4.9,0.0,0.0,2.4,57.0,9.0,0.0,흐림
2022-03-24,8.2,12.4,3.9,0.0,0.0,1.7,71.0,8.4,0.7,구름많음
2022-03-25,11.9,17.2,6.3,10.9,0.0,2.6,70.0,7.9,1.3,구름많음/비/안개
2022-03-26,11.8,14.7,9.5,19.8,0.0,2.9,81.0,8.2,0.9,구름많음/비/이슬비
2022-03-27,8.1,12.6,5.0,0.0,0.0,3.2,49.0,0.2,10.4,맑음
2022-03-28,8.2,15.1,1.5,0.0,0.0,2.2,36.0,0.5,11.7,맑음
2022-03-29,9.7,15.6,3.3,0.0,0.0,2.2,53.0,1.4,11.2,맑음
2022-03-30,10.8,15.7,5.9,0.4,0.0,1.9,77.0,7.0,1.2,구름많음/비/안개
2022-03-31,10.9,14.7,7.6,0.0,0.0,2.4,64.0,7.0,3.3,구름많음
2022-04-01,9.2,14.9,4.5,0.0,0.0,2.6,51.0,1.1,10.9,맑음
2022-04-02,8.2,14.2,3.7,0.0,0.0,2.3,55.0,0.5,11.8,맑음
2022-04-03,9.6,17.0,3.5,0.0,0.0,2.1,55.0,0.0,11.9,맑음
2022-04-04,10.3,16.4,5.1,0.0,0.0,2.3,50.0,0.0,11.6,맑음/안개
2022-04-05,10.3,15.8,4.9,0.0,0.0,2.3,41.0,6.1,9.9,구름많음
2022-04-06,11.7,17.0,8.0,0.0,0.0,2.4,52.0,6.4,8.6,구름많음/안개
2022-04-07,10.9,15.7,7.4,0.0,0.0,3.3,44.0,2.4,10.0,맑음
2022-04-08,12.9,20.0,5.1,0.0,0.0,2.1,49.0,0.0,12.0,맑음
2022-04-09,17.8,24.2,12.4,0.5,0.0,3.0,44.0,2.4,9.0,맑음/비/천둥번개
2022-04-10,18.2,25.1,12.7,0.0,0.0,2.1,46.0,1.5,11.5,맑음
2022-04-11,19.6,26.6,13.4,0.0,0.0,2.4,60.0,2.8,10.2,구름조금
2022-04-12,19.3,26.4,15.9,0.5,0.0,3.0,78.0,8.6,6.0,흐림/비
2022-04-13,13.1,15.9,12.0,1.3,0.0,4.7,69.0,10.0,0.0,흐림/비
2022-04-14,13.2,15.3,11.4,0.0,0.0,3.8,53.0,9.2,0.0,흐림
2022-04-15,13.3,19.3,7.5,0.0,0.0,3.0,47.0,1.0,12.2,맑음
2022-04-16,13.2,20.2,7.1,0.0,0.0,2.5,49.0,0.2,12.3,맑음
2022-04-17,14.0,21.9,7.2,0.0,0.0,2.4,54.0,2.6,11.7,구름조금/안개
2022-04-18,15.2,21.6,11.4,0.0,0.0,2.4,46.0,4.8,7.8,구름조금
2022-04-19,15.2,22.1,8.9,0.0,0.0,2.4,52.0,0.0,12.1,맑음/안개
2022-04-20,15.7,22.1,9.7,0.0,0.0,2.3,49.0,0.0,12.3,맑음/안개
2022-04-21,16.3,22.7,9.6,0.0,0.0,2.9,48.0,5.2,6.3,구름조금
2022-04-22,15.0,16.8,13.2,0.0,0.0,3.5,77.0,8.5,0.0,흐림/안개
2022-04-23,17.7,25.3,10.4,0.0,0.0,1.7,57.0,6.0,9.1,구름많음/안개
2022-04-24,18.5,24.5,15.0,0.3,0.0,2.3,73.0,6.4,7.0,구름많음/이슬비
2022-04-25,20.0,23.6,17.0,1.3,0.0,1.5,81.0,10.0,0.3,흐림/비/안개/이슬비
2022-04-26,21.9,28.7,17.0,1.0,0.0,3.0,58.0,5.0,9.5,구름조금/비
2022-04-27,17.7,23.9,12.6,0.0,0.0,2.7,32.0,0.4,11.8,맑음/황사
2022-04-28,18.2,25.9,11.6,0.0,0.0,2.7,44.0,5.8,8.3,구름많음/비
2022-04-29,13.4,16.5,10.7,15.5,0.0,3.4,71.0,8.8,1.5,흐림/비
2022-04-30,13.0,17.8,10.5,0.0,0.0,3.0,68.0,8.0,0.8,구름많음
2022-05-01,13.4,19.2,7.9,0.0,0.0,3.0,55.0,1.2,10.0,맑음
2022-05-02,14.2,19.4,9.1,0.0,0.0,2.4,57.0,2.0,10.4,맑음/안개
2022-05-03,14.8,20.8,9.1,0.0,0.0,2.5,46.0,1.0,12.5,맑음
2022-05-04,17.8,25.2,10.0,0.0,0.0,2.7,43.0,0.0,12.6,맑음
2022-05-05,18.9,25.8,12.5,0.0,0.0,2.1,48.0,0.5,12.7,맑음
2022-05-06,19.6,25.6,13.7,0.0,0.0,2.7,67.0,5.2,10.3,구름조금
2022-05-07,18.4,23.1,15.3,0.5,0.0,3.1,52.0,8.6,6.8,흐림/비/이슬비
2022-05-08,15.3,18.2,11.7,2.0,0.0,2.8,52.0,9.1,0.0,흐림/비
2022-05-09,17.9,25.3,11.0,0.0,0.0,2.2,56.0,3.1,12.8,구름조금
2022-05-10,19.9,26.3,13.6,0.0,0.0,2.1,39.0,7.2,9.5,구름많음/비
2022-05-11,19.7,25.2,16.6,0.0,0.0,2.4,50.0,6.9,9.8,구름많음/비
2022-05-12,20.9,28.1,14.1,0.0,0.0,1.9,52.0,3.9,11.4,구름조금
2022-05-13,19.4,25.2,15.0,0.0,0.0,2.1,46.0,5.9,4.8,구름많음
2022-05-14,15.7,20.0,11.9,0.0,0.0,3.3,46.0,4.4,10.8,구름조금
2022-05-15,16.2,22.4,10.5,0.0,0.0,2.8,40.0,2.0,12.9,맑음
2022-05-16,17.3,23.7,10.9,0.0,0.0,2.9,56.0,0.5,13.1,맑음
2022-05-17,20.0,27.4,13.0,0.0,0.0,2.6,60.0,0.2,12.8,맑음
2022-05-18,20.0,25.4,15.7,1.5,0.0,2.7,59.0,4.2,6.4,구름조금/비/안개/천둥번개
2022-05-19,19.9,24.2,16.1,0.0,0.0,3.2,54.0,4.9,7.8,구름조금
2022-05-20,20.6,25.8,15.6,0.0,0.0,2.3,53.0,5.0,10.8,구름조금
2022-05-21,20.1,26.0,16.1,0.0,0.0,2.4,71.0,3.6,9.3,구름조금/안개
2022-05-22,20.3,25.8,15.7,0.0,0.0,2.4,71.0,3.8,9.0,구름조금/안개
2022-05-23,23.0,30.7,17.8,0.0,0.0,2.4,64.0,3.0,10.4,구름조금/안개
2022-05-24,22.9,30.2,16.7,0.0,0.0,2.1,57.0,3.4,12.3,구름조금/안개
2022-05-25,21.0,26.7,16.7,3.5,0.0,2.5,67.0,6.5,8.1,구름많음/비
2022-05-26,18.7,23.5,14.1,0.0,0.0,3.9,60.0,4.5,11.6,구름조금/비
2022-05-27,20.0,25.6,16.0,0.0,0.0,3.3,63.0,2.4,11.8,맑음/비
2022-05-28,22.3,29.3,15.0,0.0,0.0,2.8,54.0,2.1,12.4,맑음
2022-05-29,23.1,29.7,19.3,0.0,0.0,2.3,66.0,6.0,7.0,구름많음
2022-05-30,20.8,24.7,17.2,0.0,0.0,2.6,71.0,7.9,0.2,구름많음/비/이슬비
2022-05-31,20.7,27.2,14.2,0.0,0.0,2.6,42.0,1.4,12.0,맑음
2022-06-01,22.1,28.6,16.2,0.0,0.0,2.6,42.0,0.6,13.5,맑음
2022-06-02,21.5,26.9,17.1,0.0,0.0,2.6,67.0,3.9,10.4,구름조금
2022-06-03,24.5,32.6,18.7,0.0,0.0,2.0,63.0,4.1,10.6,구름조금
2022-06-04,25.6,29.7,20.3,0.0,0.0,1.6,57.0,7.0,6.2,구름많음
2022-06-05,22.7,27.0,20.2,0.0,0.0,2.4,60.0,9.1,0.1,흐림/비
2022-06-06,19.6,24.5,16.7,4.3,0.0,3.2,69.0,6.9,5.5,구름많음/비
2022-06-07,20.6,25.1,15.1,0.0,0.0,2.8,55.0,6.4,6.2,구름많음/비
2022-06-08,21.2,25.8,16.2,0.0,0.0,2.3,62.0,6.4,5.1,구름많음
2022-06-09,20.9,24.5,18.5,2.6,0.0,1.6,76.0,5.5,2.6,구름많음/비/소나기
2022-06-10,20.9,26.6,17.2,1.2,0.0,1.9,76.0,5.6,4.8,구름많음/비/소나기/천둥번개
2022-06-11,24.6,32.7,17.7,0.0,0.0,2.2,60.0,3.4,10.7,구름조금
2022-06-12,24.5,31.5,18.9,0.0,0.0,2.6,59.0,5.8,9.3,구름많음/안개
2022-06-13,23.6,29.2,19.6,18.0,0.0,2.6,69.0,7.5,7.7,구름많음/비/소나기/천둥번개
2022-06-14,21.5,27.1,17.7,0.0,0.0,4.2,56.0,7.8,5.7,구름많음/비
2022-06-15,17.5,20.1,14.9,18.5,0.0,2.2,92.0,9.8,0.0,흐림/비
2022-06-16,20.3,24.8,17.6,0.7,0.0,2.4,78.0,5.6,3.8,구름많음/비
2022-06-17,22.5,28.1,16.5,0.0,0.0,1.9,76.0,5.8,3.2,구름많음
2022-06-18,23.3,25.1,22.0,0.0,0.0,1.7,80.0,7.6,0.0,구름많음/이슬비
2022-06-19,23.4,25.1,22.3,0.0,0.0,1.6,82.0,8.6,0.0,흐림
2022-06-20,25.2,29.0,22.0,0.0,0.0,1.3,77.0,6.0,1.8,구름많음
2022-06-21,26.5,32.6,21.2,0.0,0.0,2.0,73.0,3.1,12.6,구름조금
2022-06-22,25.9,31.0,21.9,0.0,0.0,2.2,71.0,6.1,7.4,구름많음
2022-06-23,24.3,26.4,23.3,103.0,0.0,2.7,89.0,8.9,0.0,흐림/비
2022-06-24,22.6,24.9,20.6,19.1,0.0,3.3,91.0,8.4,1.7,구름많음/비/안개/이슬비/천둥번개
2022-06-25,26.0,30.5,21.5,0.0,0.0,2.9,80.0,7.5,3.0,구름많음/안개
2022-06-26,26.5,28.1,24.8,0.0,0.0,2.6,82.0,10.0,0.0,흐림
2022-06-27,26.8,28.1,25.4,6.1,0.0,2.6,84.0,10.0,0.0,흐림/비/천둥번개
2022-06-28,26.9,27.9,25.7,6.3,0.0,5.7,82.0,10.0,0.0,흐림/비
2022-06-29,25.1,26.1,24.4,37.8,0.0,3.9,96.0,10.0,0.0,흐림/비
2022-06-30,22.3,24.5,21.2,176.2,0.0,2.3,99.0,10.0,0.0,흐림/비/천둥번개
2022-07-01,26.6,30.9,21.9,0.0,0.0,2.1,83.0,5.6,7.2,구름많음
2022-07-02,28.8,33.8,24.0,0.0,0.0,1.6,73.0,4.1,10.8,구름조금
2022-07-03,29.3,34.2,24.4,0.0,0.0,1.7,69.0,4.6,10.8,구름조금
2022-07-04,29.3,32.6,26.4,0.0,0.0,1.7,72.0,6.9,3.6,구름많음/비/소나기
2022-07-05,29.2,33.1,26.7,0.0,0.0,1.7,74.0,7.5,2.6,구름많음/비/소나기
2022-07-06,29.5,33.3,26.2,16.1,0.0,2.2,76.0,7.2,1.1,구름많음/비/소나기/천둥번개
2022-07-07,28.2,31.0,26.4,0.0,0.0,2.8,82.0,9.2,0.6,흐림/비
2022-07-08,25.8,27.9,24.0,1.7,0.0,3.0,84.0,9.5,0.0,흐림/비/안개
2022-07-09,26.9,30.9,24.0,0.1,0.0,1.6,82.0,7.0,1.8,구름많음/비/안개/이슬비
2022-07-10,29.2,35.1,24.6,0.0,0.0,1.6,68.0,5.6,8.4,구름많음/비/안개
2022-07-11,27.0,30.6,24.7,9.0,0.0,1.9,75.0,6.2,2.8,구름많음/비
2022-07-12,26.8,29.4,23.2,0.0,0.0,2.2,73.0,8.1,0.8,구름많음
2022-07-13,25.0,27.1,24.0,114.5,0.0,1.9,94.0,10.0,0.0,흐림/비/이슬비
2022-07-14,25.7,29.9,23.3,0.9,0.0,2.3,85.0,8.1,3.9,구름많음/비/이슬비
2022-07-15,26.0,30.3,23.0,0.0,0.0,2.3,77.0,5.2,8.9,구름조금
2022-07-16,24.8,28.2,23.2,34.0,0.0,2.1,83.0,8.2,1.5,구름많음/소나기/안개
2022-07-17,25.5,29.7,22.5,0.0,0.0,1.8,79.0,7.2,3.6,구름많음/소나기/안개
2022-07-18,26.8,30.1,23.1,0.0,0.0,2.2,76.0,5.4,5.2,구름조금
2022-07-19,27.4,31.1,24.3,0.0,0.0,2.3,74.0,6.2,8.4,구름많음
2022-07-20,27.1,30.4,24.3,1.1,0.0,2.1,76.0,9.0,3.1,흐림/비/안개
2022-07-21,23.2,25.2,20.8,10.4,0.0,2.7,88.0,8.9,0.5,흐림/비
2022-07-22,25.1,27.5,22.9,5.2,0.0,1.8,82.0,7.5,2.5,구름많음/비/소나기/안개
2022-07-23,24.8,28.0,22.3,9.9,0.0,2.1,84.0,9.4,0.1,흐림/비/안개
2022-07-24,25.0,28.4,22.0,1.2,0.0,2.2,87.0,9.5,0.4,흐림/비
2022-07-25,27.5,32.0,23.6,0.0,0.0,1.9,75.0,3.8,9.6,구름조금
2022-07-26,28.9,33.1,24.4,0.0,0.0,1.8,73.0,5.0,9.0,구름조금
2022-07-27,29.3,33.4,26.4,0.0,0.0,2.1,66.0,5.2,6.0,구름조금/안개
2022-07-28,29.7,34.4,25.1,0.0,0.0,2.5,64.0,3.5,9.9,구름조금
2022-07-29,30.7,34.3,27.3,0.0,0.0,2.2,68.0,5.0,7.6,구름조금
2022-07-30,30.9,36.1,27.3,1.0,0.0,2.7,68.0,4.5,9.4,구름조금/비/소나기
2022-07-31,27.2,29.0,25.4,47.2,0.0,2.5,86.0,9.8,0.0,흐림/비
2022-08-01,28.6,32.4,25.4,30.0,0.0,2.5,82.0,8.9,3.2,흐림/비/천둥번개
2022-08-02,26.8,28.5,25.5,33.5,0.0,2.8,90.0,9.9,0.0,흐림/비/천둥번개
2022-08-03,27.1,30.0,25.2,51.1,0.0,2.6,90.0,9.2,1.3,흐림/비/천둥번개
2022-08-04,28.9,32.9,26.0,0.0,0.0,2.5,79.0,4.4,8.7,구름조금/비
2022-08-05,29.4,32.7,27.0,0.0,0.0,2.5,77.0,6.1,6.3,구름많음/소나기
2022-08-06,28.7,30.3,27.4,13.6,0.0,1.6,85.0,7.5,0.4,구름많음/소나기
2022-08-07,28.8,31.7,27.2,0.9,0.0,2.6,82.0,8.4,0.6,구름많음/비/소나기
2022-08-08,26.8,28.4,25.2,129.6,0.0,3.4,92.0,10.0,0.0,흐림/비/천둥번개
2022-08-09,25.1,26.5,22.0,123.1,0.0,2.6,96.0,10.0,0.0,흐림/비/천둥번개
2022-08-10,24.7,28.8,21.4,7.6,0.0,1.4,85.0,9.1,3.1,흐림/비
2022-08-11,25.0,27.5,23.4,38.8,0.0,1.8,88.0,9.0,0.8,흐림/비
2022-08-12,27.0,32.4,23.0,0.0,0.0,1.7,74.0,4.5,10.6,구름조금
2022-08-13,25.8,27.5,24.7,4.0,0.0,1.3,83.0,8.9,0.8,흐림/비
2022-08-14,27.6,31.5,24.5,3.0,0.0,1.9,83.0,7.8,2.2,구름많음/비/소나기
2022-08-15,28.1,29.8,26.6,0.9,0.0,5.0,83.0,9.5,0.0,흐림/비
2022-08-16,26.7,30.0,24.1,0.0,0.0,2.5,75.0,4.8,9.2,구름조금/비
2022-08-17,25.9,30.5,22.8,0.0,0.0,2.1,77.0,4.0,6.0,구름조금/소나기
2022-08-18,25.6,29.8,22.4,0.0,0.0,1.9,76.0,6.4,2.6,구름많음
2022-08-19,25.9,27.5,23.3,66.1,0.0,2.4,86.0,9.6,0.0,흐림/비
2022-08-20,28.2,32.0,25.7,0.0,0.0,2.2,80.0,4.8,9.6,구름조금/비/안개
2022-08-21,28.1,32.0,24.7,0.0,0.0,1.8,75.0,5.9,5.5,구름많음
2022-08-22,26.8,30.2,22.9,3.2,0.0,2.3,76.0,8.4,1.5,구름많음/비
2022-08-23,25.4,30.2,22.4,2.2,0.0,2.1,75.0,5.4,7.1,구름조금/비
2022-08-24,24.8,27.9,22.4,0.0,0.0,2.5,67.0,6.8,2.0,구름많음
2022-08-25,22.2,24.0,21.1,1.6,0.0,1.8,78.0,8.2,0.0,구름많음/비
2022-08-26,23.8,28.4,19.9,0.0,0.0,2.4,75.0,4.5,7.8,구름조금
2022-08-27,21.4,25.5,17.6,17.6,0.0,2.9,63.0,1.2,12.4,맑음/비
2022-08-28,22.6,28.4,16.1,0.0,0.0,1.7,59.0,5.1,12.1,구름조금
2022-08-29,21.0,22.5,19.5,2.2,0.0,2.3,74.0,9.9,0.0,흐림/비
2022-08-30,19.1,20.3,17.9,35.8,0.0,2.5,96.0,10.0,0.0,흐림/비
2022-08-31,21.7,24.9,19.6,0.0,0.0,1.9,83.0,7.5,2.5,구름많음/비
2022-09-01,24.0,30.4,18.3,0.0,0.0,1.7,71.0,1.0,12.1,맑음
2022-09-02,24.7,29.8,20.3,0.0,0.0,3.1,62.0,2.4,11.6,맑음
2022-09-03,24.2,29.2,20.5,0.0,0.0,3.5,63.0,6.6,4.5,구름많음
2022-09-04,22.3,24.0,19.8,33.8,0.0,3.0,89.0,9.6,0.0,흐림/비
2022-09-05,19.2,22.7,17.7,119.8,0.0,3.3,96.0,10.0,0.0,흐림/비
2022-09-06,21.0,26.3,17.0,25.3,0.0,3.7,78.0,3.9,8.4,구름조금/비
2022-09-07,22.8,28.1,17.9,0.0,0.0,2.0,65.0,0.1,11.9,맑음/안개
2022-09-08,23.2,29.5,16.7,0.0,0.0,1.7,66.0,2.1,11.8,맑음
2022-09-09,24.3,30.8,18.9,0.0,0.0,1.9,59.0,4.1,11.1,구름조금
2022-09-10,23.5,28.4,19.0,0.0,0.0,2.6,52.0,7.9,6.5,구름많음
2022-09-11,23.3,26.4,20.6,0.1,0.0,2.2,69.0,8.9,1.8,흐림/비
2022-09-12,23.8,27.5,20.3,0.0,0.0,1.5,76.0,8.1,3.5,구름많음
2022-09-13,24.3,26.4,21.8,0.0,0.0,2.5,73.0,9.6,0.1,흐림/비
2022-09-14,24.6,27.9,22.7,0.0,0.0,4.5,57.0,8.8,1.1,흐림/비
2022-09-15,25.2,28.3,22.0,0.1,0.0,3.6,67.0,8.4,3.4,구름많음/비
2022-09-16,25.7,29.9,23.4,14.6,0.0,3.0,79.0,9.0,1.8,흐림/비
2022-09-17,25.6,29.4,23.3,4.3,0.0,1.3,83.0,7.8,3.8,구름많음/비/안개
2022-09-18,27.1,32.5,23.0,0.0,0.0,2.0,75.0,6.5,5.7,구름많음
2022-09-19,24.6,29.6,19.5,0.0,0.0,3.3,63.0,5.4,6.9,구름조금
2022-09-20,19.9,24.6,16.1,0.0,0.0,2.2,57.0,2.1,9.7,맑음/비
2022-09-21,19.4,25.6,13.0,0.0,0.0,1.9,57.0,0.5,11.0,맑음
2022-09-22,19.8,24.7,14.2,0.0,0.0,2.0,60.0,4.0,7.4,구름조금
2022-09-23,17.5,22.2,14.7,3.3,0.0,3.2,69.0,3.0,7.9,구름조금/비
2022-09-24,18.5,24.2,12.3,0.0,0.0,1.8,65.0,3.4,10.7,구름조금
2022-09-25,19.6,25.2,15.4,0.0,0.0,1.6,63.0,6.4,7.8,구름많음
2022-09-26,20.0,25.4,14.8,0.0,0.0,1.7,59.0,6.5,8.7,구름많음
2022-09-27,20.9,28.0,14.0,0.0,0.0,1.6,59.0,0.5,11.2,맑음
2022-09-28,20.4,26.1,16.1,0.0,0.0,1.9,71.0,4.6,5.0,구름조금/안개
2022-09-29,20.4,26.5,16.4,0.0,0.0,1.5,74.0,2.5,7.9,구름조금/안개
2022-09-30,20.7,27.7,14.8,0.0,0.0,1.6,68.0,0.2,10.6,맑음/안개
2022-10-01,20.9,27.6,14.4,0.0,0.0,1.7,63.0,5.4,7.9,구름조금/안개
2022-10-02,19.4,21.6,17.2,15.8,0.0,2.7,79.0,9.9,0.0,흐림/비
