rank,title,singer,album
63,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
64,슝! (feat. LISA of BLACKPINK),태양,Down to Earth
65,STAY,The Kid LAROI,STAY
66,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
67,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면
68,TOMBOY,(여자)아이들,I NEVER DIE
69,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스),That’s Not How This Works (feat. Dan + Shay)
70,나의 마음에 (Seed),태양,Down to Earth
71,Unholy,Sam Smith(샘 스미스),Unholy
72,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
73,"Young, Dumb, Stupid",NMIXX,expérgo
74,Lips,IVE (아이브),I've IVE
75,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
76,KNOCK,이채연,Over The Moon
77,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
78,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
79,해요 (2022),#안녕,해요 (2022)
80,취중고백,김민석 (멜로망스),취중고백
81,WHEN I MOVE,카라(Kara),MOVE AGAIN
82,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
83,Perfume,NCT 도재정,Perfume - The 1st Mini Album
84,Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04)
85,Dynamite,방탄소년단,Dynamite (DayTime Version)
86,딱 10CM만,10CM,딱 10CM만
87,Anti-Hero,Taylor Swift(테일러 스위프트),Midnights (3am Edition)
88,Made You Look,Meghan Trainor(메간 트레이너),Takin' It Back
89,주저하는 연인들을 위해,잔나비,전설
90,먼지,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
91,사랑하기 싫어,지아(Zia),사랑하기 싫어
92,Heaven(2023),임재현,시작은 첫키스 OST Part.1
93,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
94,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스),Left and Right (Feat. Jung Kook of BTS)
95,Blue Blood,IVE (아이브),I've IVE
96,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
97,Rising,tripleS (트리플에스),ASSEMBLE
98,I Don't Understand But I Luv U,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
99,Inspiration (feat. Beenzino),태양,Down to Earth
100,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022)
