rank,title,singer,album
65,나의 마음에 (Seed),태양,Down to Earth
66,내가 아니라도,주호,내가 아니라도
67,ELEVEN,IVE (아이브),ELEVEN
68,그라데이션,10CM,5.3
69,Unholy,Sam Smith & Kim Petras,Unholy
70,빙글빙글 (Prod. by R.Tee),헤이즈 (Heize),빙글빙글
71,When I Get Old,Christopher & 청하,When I Get Old
72,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
73,나의 X에게,경서,나의 X에게
74,Nostalgia,우디 (Woody),Nostalgia
75,Like Crazy,지민,FACE
76,사람 Pt.2 (Feat. 아이유),Agust D,D-DAY
77,Love Me Like This,NMIXX,expérgo
78,봄날,방탄소년단,YOU NEVER WALK ALONE
79,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
80,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
81,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
82,Butter,방탄소년단,Butter
83,2002,Anne-Marie,Speak Your Mind (Deluxe)
84,Ai Wo Tsutaetaidatoka,Aimyon,Ai Wo Tsutaetaidatoka
85,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
86,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
87,Candy,NCT DREAM,Candy - Winter Special Mini Album
88,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
89,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
90,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
91,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
92,희재,성시경,국화꽃 향기 OST
93,Off My Face,Justin Bieber,Justice
94,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
95,신호등,이무진,신호등
96,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
97,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
98,Every Second,Mina Okabe,Every Second
99,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
100,슝! (Feat. LISA of BLACKPINK),태양,Down to Earth
101,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
102,Bad Habits,Ed Sheeran,=
103,LOVE me,BE'O (비오),LOVE me
104,Blueming,아이유 (IU),Love poem
105,나의 목소리로,김호중,나의 목소리로
106,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),정국 & 방탄소년단,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack)
107,딱 10CM만,10CM & BIG Naughty (서동현),딱 10CM만
108,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
109,Perfume,NCT 도재정,Perfume - The 1st Mini Album
110,주저하는 연인들을 위해,잔나비,전설
111,떠나보낼 준비해 둘걸 그랬어,임한별,떠나보낼 준비해 둘걸 그랬어
112,That That (Prod. & Feat. SUGA of BTS),싸이 (Psy),싸다9
113,Heaven (2023),임재현,시작은 첫키스 OST Part.1
114,Permission to Dance,방탄소년단,Butter / Permission to Dance
115,Love story,볼빨간사춘기,Seoul
116,Bad,Christopher,Under the Surface
117,라일락,아이유 (IU),IU 5th Album 'LILAC'
118,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
119,strawberry moon,아이유 (IU),strawberry moon
120,고백,멜로망스 (MeloMance),세 번째 '고백'
121,녹는중 (Feat. 버벌진트),다비치,MYSTIC BALLAD Part.2
122,Chase Love Hard (Feat. 황민현),볼빨간사춘기,사랑.zip
123,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
124,발걸음,DK (디셈버),발걸음
125,다시 사랑한다면 (니글니글 버터플라이),김필,복면가왕 47회
126,At My Worst,Pink Sweat$,The Prelude
127,I Ain't Worried,OneRepublic,I Ain't Worried (Music From The Motion Picture 'Top Gun : Maverick')
128,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
129,Made You Look,Meghan Trainor,Takin' It Back
130,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light
131,Left and Right (Feat. Jung Kook of BTS),Charlie Puth & 정국 & 방탄소년단,Left and Right
132,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
133,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
134,나비무덤,포맨 (4MEN),나비무덤
135,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
136,팡파레,다비치,Season Note
137,인생은 뷰티풀,김호중,인생은 뷰티풀 : 비타돌체
138,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
139,잘가요,주호,잘가요
140,슬픈등,김호중,인생은 뷰티풀 : 비타돌체
141,우린 그렇게 사랑해서,강민경 (다비치) & 잔나비 최정훈,우린 그렇게 사랑해서
142,Yet To Come,방탄소년단,Proof
143,당신을 만나,김호중 & 송가인,당신을 만나
144,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
145,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You)
146,KNOCK,이채연,Over The Moon
147,그대를 알고,송하예,그대를 알고
148,INVU,태연 (TAEYEON),INVU - The 3rd Album
149,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
150,12 : 45 (Stripped),etham,12 : 45 (Stripped)
151,Poppy (Korean Ver.),STAYC (스테이씨),Teddy Bear
152,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에
153,만개 (Prod. 신지후),김호중,우리家
154,Weekend,태연 (TAEYEON),Weekend
155,다시 사랑한다면,한동근,다시 사랑한다면
156,Set Me Free Pt.2,지민,FACE
157,주마등,김호중,PANORAMA
158,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9 (tvN 금토드라마)
159,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
160,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
161,마지막 사랑,신예영,마지막 사랑
162,헤픈 우연,헤이즈 (Heize),HAPPEN
163,GHOST TOWN,Benson Boone,GHOST TOWN
164,All I Wanna Do (K) (Feat. Hoody & Loco),박재범,EVERYTHING YOU WANTED
165,Next Level,aespa,Next Level
166,예뻤어,DAY6 (데이식스),Every DAY6 February
167,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022)
168,선물,멜로망스 (MeloMance),Moonlight
169,Shape Of You,Ed Sheeran,÷ (Deluxe)
170,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
171,Tiny Riot,Sam Ryder,The Sun's Gonna Rise
172,우산 (Feat. 윤하),에픽하이 (EPIK HIGH),Breakdown
173,빛이 나는 사람,김호중,빛이 나는 사람
174,Memories,Maroon 5,Memories
175,해금,Agust D,D-DAY
176,on the street,j-hope & J. Cole,on the street
177,...사랑했잖아...,린 (LYn),Can U See The Bright
178,있잖아,폴킴,연애플레이리스트2 OST Part.2
179,Inspiration (Feat. Beenzino),태양,Down to Earth
180,소주 한 잔,임창정,Bye
181,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
182,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
183,약속 (約束),김호중,PANORAMA
184,Fall In Love Alone,Stacey Ryan,Fall In Love Alone
185,WHEN I MOVE,카라 (KARA),MOVE AGAIN
186,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
187,I'm Not The Only One,Sam Smith,In The Lonely Hour (Standard Edition)
188,Kiss,NCT 도재정,Perfume - The 1st Mini Album
189,가질 수 없는 너,#안녕,가질 수 없는 너
190,Zero,NewJeans,Zero
191,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서
192,I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album
193,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
194,BLUE MOON (Prod. by GroovyRoom),효린 & 창모 (CHANGMO),BLUE MOON
195,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
196,200％,AKMU (악뮤),PLAY
197,Il Mare Calmo Della Sera,김호중,PANORAMA
198,Light Switch,Charlie Puth,CHARLIE
199,Sunday Night Drive,박재범,Sunday Night Drive
200,풍등,이찬원,ONE
