rank,title,singer,album
61,Nxde,(여자)아이들,I love
62,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
63,Chase Love Hard (Feat. 황민현),볼빨간사춘기,사랑.zip
64,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
65,내가 아니라도,주호,내가 아니라도
66,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
67,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
68,Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04)
69,헤어지자 말해요,박재정,1집 Alone
70,Nostalgia,우디(Woody),Nostalgia
71,그라데이션,10CM,5.3
72,나의 X에게,경서,나의 X에게
73,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
74,WHEN I MOVE,카라(Kara),MOVE AGAIN
75,KNOCK,이채연,Over The Moon
76,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
77,Perfume,NCT 도재정,Perfume - The 1st Mini Album
78,Anti-Hero,Taylor Swift(테일러 스위프트),Midnights (3am Edition)
79,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
80,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면
81,Monologue,테이(Tei),Monologue
82,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE
83,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
84,Love story,볼빨간사춘기,Seoul
85,Dynamite,방탄소년단,Dynamite (DayTime Version)
86,"Young, Dumb, Stupid",NMIXX,expérgo
87,Blue Blood,IVE (아이브),I've IVE
88,LOVE me,BE'O (비오),LOVE me
89,Made You Look,Meghan Trainor(메간 트레이너),Takin' It Back
90,먼지,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
91,Rising,tripleS (트리플에스),ASSEMBLE
92,Lips,IVE (아이브),I've IVE
93,April shower,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
94,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스),Left and Right (Feat. Jung Kook of BTS)
95,Higher,FIFTY FIFTY,THE FIFTY
96,Heaven(2023),임재현,시작은 첫키스 OST Part.1
97,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
98,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
99,I Don't Understand But I Luv U,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
100,사랑하기 싫어,지아(Zia),사랑하기 싫어
