rank,title,singer,album
60,Chase Love Hard (Feat. 황민현),볼빨간사춘기,사랑.zip
61,ELEVEN,IVE (아이브),ELEVEN
62,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
63,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
64,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
65,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
66,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE
67,나의 마음에 (Seed),태양,Down to Earth
68,F*ck My Life,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
69,해요 (2022),#안녕,해요 (2022)
70,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
71,Perfume,NCT 도재정,Perfume - The 1st Mini Album
72,"Young, Dumb, Stupid",NMIXX,expérgo
73,Love story,볼빨간사춘기,Seoul
74,Blue Blood,IVE (아이브),I've IVE
75,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
76,INVU,태연 (TAEYEON),INVU - The 3rd Album
77,strawberry moon,아이유(IU),strawberry moon
78,드라마,아이유(IU),조각집
79,나의 X에게,경서,나의 X에게
80,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
81,딱 10CM만,10CM,딱 10CM만
82,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
83,Higher,FIFTY FIFTY,THE FIFTY
84,먼지,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
85,Anti-Hero,Taylor Swift(테일러 스위프트),Midnights (3am Edition)
86,April shower,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
87,Lips,IVE (아이브),I've IVE
88,사랑이 이별이 돼 가는 모습이,볼빨간사춘기,사랑.zip
89,LOVE me,BE'O (비오),LOVE me
90,내가 아니라도,주호,내가 아니라도
91,주저하는 연인들을 위해,잔나비,전설
92,Inspiration (feat. Beenzino),태양,Down to Earth
93,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스),Left and Right (Feat. Jung Kook of BTS)
94,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면
95,Dynamite,방탄소년단,Dynamite (DayTime Version)
96,Rising,tripleS (트리플에스),ASSEMBLE
97,Made You Look,Meghan Trainor(메간 트레이너),Takin' It Back
98,Sunday Night Drive,박재범,Sunday Night Drive
99,사랑하기 싫어,지아(Zia),사랑하기 싫어
100,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
