rank,title,singer,album
66,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
67,나의 마음에 (Seed),태양,Down to Earth
68,Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
69,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
70,Blueming,아이유 (IU),Love poem
71,빙글빙글 (Prod. by R.Tee),헤이즈 (Heize),빙글빙글
72,Butter,방탄소년단,Butter
73,나의 X에게,경서,나의 X에게
74,봄날,방탄소년단,YOU NEVER WALK ALONE
75,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
76,Unholy,Sam Smith & Kim Petras,Unholy
77,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
78,Nostalgia,우디 (Woody),Nostalgia
79,When I Get Old,Christopher & 청하,When I Get Old
80,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
81,사람 Pt.2 (Feat. 아이유),Agust D,D-DAY
82,Love Me Like This,NMIXX,expérgo
83,2002,Anne-Marie,Speak Your Mind (Deluxe)
84,Like Crazy,지민,FACE
85,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
86,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
87,Ai Wo Tsutaetaidatoka,Aimyon,Ai Wo Tsutaetaidatoka
88,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
89,희재,성시경,국화꽃 향기 OST
90,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
91,Candy,NCT DREAM,Candy - Winter Special Mini Album
92,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
93,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
94,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
95,Every Second,Mina Okabe,Every Second
96,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
97,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
98,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
99,Off My Face,Justin Bieber,Justice
100,신호등,이무진,신호등
